14.847	616.10e-3	1
8.088	616.18e-3	2
11.407	616.26e-3	3
8.775	616.34e-3	4
10.279	616.42e-3	5
9.435	616.51e-3	6
10.390	616.58e-3	7
10.691	616.65e-3	8
#11.611	616.74e-3	9
9.343	616.82e-3	10
10.789	616.90e-3	11
10.169	616.99e-3	12
10.602	617.06e-3	13
10.522	617.14e-3	14
11.242	617.22e-3	15
10.849	617.29e-3	16
11.488	617.38e-3	17
11.502	617.46e-3	18
11.494	617.54e-3	19
11.981	617.63e-3	20
#15.754	616.10e-3	1
8.115	616.18e-3	2
11.216	616.26e-3	3
9.439	616.34e-3	4
10.733	616.42e-3	5
9.443	616.51e-3	6
10.204	616.58e-3	7
9.365	616.65e-3	8
10.509	616.74e-3	9
9.773	616.82e-3	10
10.233	616.90e-3	11
10.137	616.99e-3	12
10.446	617.06e-3	13
10.466	617.14e-3	14
10.471	617.22e-3	15
10.448	617.29e-3	16
11.018	617.38e-3	17
#12.509	617.46e-3	18
11.323	617.54e-3	19
11.188	617.63e-3	20
#16.721	616.10e-3	1
8.362	616.18e-3	2
11.449	616.26e-3	3
9.253	616.34e-3	4
10.566	616.42e-3	5
9.745	616.51e-3	6
10.604	616.58e-3	7
9.861	616.65e-3	8
10.774	616.74e-3	9
9.504	616.82e-3	10
9.878	616.90e-3	11
8.938	616.99e-3	12
9.748	617.06e-3	13
9.730	617.14e-3	14
9.737	617.22e-3	15
10.343	617.29e-3	16
9.926	617.38e-3	17
11.276	617.46e-3	18
9.975	617.54e-3	19
10.868	617.63e-3	20
13.826	616.10e-3	1
7.355	616.18e-3	2
10.530	616.26e-3	3
9.996	616.34e-3	4
10.149	616.42e-3	5
#13.237	616.51e-3	6
9.075	616.58e-3	7
8.756	616.65e-3	8
9.852	616.74e-3	9
8.588	616.82e-3	10
9.457	616.90e-3	11
9.187	616.99e-3	12
9.437	617.06e-3	13
9.697	617.14e-3	14
9.600	617.22e-3	15
9.568	617.29e-3	16
9.931	617.38e-3	17
9.850	617.46e-3	18
10.049	617.54e-3	19
10.134	617.63e-3	20
13.655	616.10e-3	1
7.572	616.18e-3	2
10.025	616.26e-3	3
8.256	616.34e-3	4
9.669	616.42e-3	5
#8.253	616.51e-3	6
9.410	616.58e-3	7
8.610	616.65e-3	8
9.406	616.74e-3	9
9.101	616.82e-3	10
9.685	616.90e-3	11
9.387	616.99e-3	12
9.742	617.06e-3	13
9.554	617.14e-3	14
9.830	617.22e-3	15
9.789	617.29e-3	16
9.719	617.38e-3	17
10.067	617.46e-3	18
10.581	617.54e-3	19
10.775	617.63e-3	20
13.882	616.10e-3	1
7.400	616.18e-3	2
10.707	616.26e-3	3
8.062	616.34e-3	4
10.031	616.42e-3	5
9.439	616.51e-3	6
9.535	616.58e-3	7
8.880	616.65e-3	8
9.514	616.74e-3	9
9.548	616.82e-3	10
9.239	616.90e-3	11
8.914	616.99e-3	12
9.524	617.06e-3	13
9.468	617.14e-3	14
10.740	617.22e-3	15
10.197	617.29e-3	16
10.034	617.38e-3	17
10.870	617.46e-3	18
10.755	617.54e-3	19
12.471	617.63e-3	20
14.363	616.10e-3	1
7.595	616.18e-3	2
10.301	616.26e-3	3
8.010	616.34e-3	4
9.984	616.42e-3	5
8.830	616.51e-3	6
9.200	616.58e-3	7
9.495	616.65e-3	8
9.107	616.74e-3	9
9.045	616.82e-3	10
9.418	616.90e-3	11
9.576	616.99e-3	12
9.404	617.06e-3	13
9.636	617.14e-3	14
9.780	617.22e-3	15
10.076	617.29e-3	16
10.839	617.38e-3	17
9.546	617.46e-3	18
10.455	617.54e-3	19
10.487	617.63e-3	20
13.736	616.10e-3	1
7.765	616.18e-3	2
10.338	616.26e-3	3
8.696	616.34e-3	4
10.342	616.42e-3	5
8.352	616.51e-3	6
9.648	616.58e-3	7
10.338	616.65e-3	8
9.378	616.74e-3	9
9.059	616.82e-3	10
9.611	616.90e-3	11
9.059	616.99e-3	12
9.897	617.06e-3	13
9.236	617.14e-3	14
9.718	617.22e-3	15
9.981	617.29e-3	16
11.651	617.38e-3	17
11.594	617.46e-3	18
11.372	617.54e-3	19
10.444	617.63e-3	20
